Marca temporal,¿Cuántos años tenés?,,¿Cuál es tu género?,Me siento calmado,Me siento seguro,Estoy tenso,Estoy contrariado (malhumorado o disgustado),Me siento cómodo (estoy a gusto),Estoy preocupado ahora por posibles desgracias futuras,Me siento descansado,Me siento angustiado,Me siento confortable,Tengo confianza en mi mismo,Me siento nervioso,Estoy desasosegado (agitado e inquieto),Me siento muy “atado” (como oprimido),Estoy relajado,Me siento satisfecho,Estoy preocupado,Me siento aturdido y sobreexcitado,Me siento alegre,En este momento me siento bien
7/07/2021 12:23:45,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 12:25:39,Entre 26 y 40,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Mucho (3),Bastante (2),Nada (0),Bastante (2),Mucho (3)
7/07/2021 12:26:06,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (2),Bastante (2),Nada (0),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
7/07/2021 12:27:39,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:28:09,Entre 19 y 25,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:30:53,Entre 15 y 18,,Hombre,Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 12:31:34,Entre 19 y 25,,Hombre,Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 12:32:27,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (3),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2)
7/07/2021 12:32:54,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 12:34:55,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Bastante (2),Nada (0),Bastante (2),Bastante (3),Mucho (3),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:36:58,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (2),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2)
7/07/2021 12:37:57,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:38:12,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:39:39,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 12:39:56,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:40:21,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Nada (0),Mucho (3),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:44:52,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
7/07/2021 12:47:09,Entre 15 y 18,,Hombre,Mucho (3),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 12:52:59,Entre 15 y 18,,Hombre,Nada (0),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Mucho (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0)
7/07/2021 12:56:46,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 12:57:23,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:58:06,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 12:59:35,Entre 15 y 18,,Hombre,Mucho (3),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Bastante (2),Mucho (3)
7/07/2021 13:01:26,Entre 15 y 18,,Hombre,Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (2),Mucho (3),Un poco (1),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
7/07/2021 13:02:26,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (2),Bastante (2),Un poco (1),Mucho (3),Nada (0),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 13:11:45,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:14:33,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:20:29,Entre 26 y 40,,Hombre,Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2)
7/07/2021 13:23:18,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:24:44,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Mucho (3),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2),Mucho (3),Un poco (1),Nada (0)
7/07/2021 13:25:50,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Nada (0),Bastante (2),Un poco (1),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:30:24,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:30:45,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 13:35:05,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 13:42:18,Entre 15 y 18,,Hombre,Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Nada (0),Un poco (1),Mucho (3),Mucho (3),Nada (0),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 13:42:23,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2)
7/07/2021 13:55:39,Entre 19 y 25,,Hombre,Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 13:55:56,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (3),Mucho (3),Nada (0),Bastante (2),Mucho (3),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0)
7/07/2021 14:00:00,Entre 19 y 25,,Hombre,Mucho (3),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 14:03:18,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Mucho (3),Bastante (2),Nada (0),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Bastante (2)
7/07/2021 14:03:43,Entre 19 y 25,,Hombre,Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Bastante (2)
7/07/2021 14:09:55,Entre 19 y 25,,Hombre,Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Nada (0),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 14:14:20,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Nada (0),Mucho (3),Nada (0),Bastante (2),Nada (0),Mucho (3),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1)
7/07/2021 14:18:24,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Mucho (3)
7/07/2021 14:23:43,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 14:36:32,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Mucho (3),Nada (0),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 14:39:12,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 14:39:38,Más de 40,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 14:54:22,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Mucho (3),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 15:07:09,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 15:08:48,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 15:12:02,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 15:12:25,Más de 40,,Hombre,Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 15:21:27,Entre 19 y 25,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0)
7/07/2021 15:30:55,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 15:37:11,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Mucho (3),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Mucho (3),Bastante (2),Bastante (2)
7/07/2021 15:39:12,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1)
7/07/2021 15:42:48,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1)
7/07/2021 15:43:03,Entre 19 y 25,,Hombre,Mucho (3),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 15:53:58,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
7/07/2021 16:03:53,Más de 40,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 16:28:04,Entre 19 y 25,,Hombre,Bastante (2),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
7/07/2021 16:34:05,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2)
7/07/2021 16:41:48,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1)
7/07/2021 16:48:18,Entre 19 y 25,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 17:09:20,Entre 15 y 18,,Hombre,Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Un poco (1),Un poco (1),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 17:35:06,Entre 19 y 25,,Hombre,Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Un poco (1),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 17:48:22,Entre 19 y 25,,Hombre,Nada (0),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 18:22:01,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Nada (0),Bastante (2),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:39:45,Entre 15 y 18,,Hombre motosierra,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Bastante (3),Nada (0),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1)
7/07/2021 10:27:50,Entre 14 y 18,,Mujer,Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 10:28:46,Entre 14 y 18,,Mujer,Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Mucho (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 10:33:25,Entre 14 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (3),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 11:02:27,Entre 14 y 18,,Mujer,Un poco (1),Bastante (2),Mucho (3),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:03:26,Entre 14 y 18,,Mujer,Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Nada (0),Un poco (1),Mucho (3),Un poco (1),Nada (0),Un poco (1),Mucho (3),Bastante (2),Nada (0),Mucho (3),Mucho (3),Mucho (3)
7/07/2021 11:06:20,Entre 14 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:30:10,Entre 18 y 25,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:30:15,Más de 40,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 11:31:07,Entre 18 y 25,,Mujer,Un poco (1),Un poco (1),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Nada (0),Un poco (1),Bastante (2),Mucho (3),Mucho (3),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 11:33:28,Más de 40,,Mujer,Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:35:52,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Mucho (3),Nada (0),Bastante (2),Mucho (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 11:37:34,Entre 15 y 18,,Mujer,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1)
7/07/2021 11:37:40,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Mucho (3),Mucho (3),Bastante (2),Bastante (3),Nada (0),Mucho (3),Nada (0),Un poco (1),Mucho (3),Bastante (2),Mucho (3),Nada (0),Un poco (1),Mucho (3),Mucho (3),Bastante (2),Bastante (2)
7/07/2021 11:38:16,Entre 26 y 40,,Mujer,Un poco (1),Bastante (2),Mucho (3),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:38:17,Entre 15 y 18,,Mujer,Mucho (3),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Bastante (2),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:39:22,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (3),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1)
